No.,Komoditas (Kg),28/09/2021,29/09/2021,30/09/2021,01/10/2021,04/10/2021,05/10/2021
1,Beras Kualitas Bawah I (kg)," Rp10,650 "," Rp10,650 "," Rp10,550 "," Rp10,650 "," Rp10,650 "," Rp10,650 "
2,Beras Kualitas Medium I (kg)," Rp11,700 "," Rp11,700 "," Rp11,650 "," Rp11,700 "," Rp11,700 "," Rp11,700 "
3,Beras Kualitas Super I (kg)," Rp13,000 "," Rp13,000 "," Rp12,900 "," Rp12,950 "," Rp12,950 "," Rp12,950 "
4,Daging Ayam Ras Segar (kg)," Rp35,650 "," Rp35,700 "," Rp35,450 "," Rp35,350 "," Rp35,400 "," Rp35,350 "
5,Daging Sapi Kualitas 1 (kg)," Rp127,550 "," Rp127,600 "," Rp127,250 "," Rp127,450 "," Rp127,600 "," Rp127,650 "
6,Daging Sapi Kualitas 2 (kg)," Rp117,800 "," Rp117,850 "," Rp117,700 "," Rp118,500 "," Rp118,600 "," Rp118,700 "
7,Bawang Merah Ukuran Sedang (kg)," Rp29,750 "," Rp29,650 "," Rp29,500 "," Rp29,500 "," Rp29,500 "," Rp29,300 "
8,Bawang Putih Ukuran Sedang (kg)," Rp29,700 "," Rp29,600 "," Rp29,450 "," Rp29,600 "," Rp29,550 "," Rp29,400 "
9,Minyak Goreng Curah (kg)," Rp15,500 "," Rp15,500 "," Rp15,550 "," Rp15,500 "," Rp15,550 "," Rp15,500 "
10,Minyak Goreng Kemasan Bermerk 1 (kg)," Rp16,550 "," Rp16,550 "," Rp16,550 "," Rp16,550 "," Rp16,600 "," Rp16,600 "
11,Minyak Goreng Kemasan Bermerk 2 (kg)," Rp16,000 "," Rp16,000 "," Rp16,050 "," Rp16,000 "," Rp16,100 "," Rp16,100 "
